YEAR,QUARTER,NGDP1,NGDP2,NGDP3,NGDP4,NGDP5,NGDP6,NGDPA,NGDPB,,
1968,4,870.93,884.78,896.54,908.77,923.77,939.79,#N/A,#N/A,,
1969,1,887.84,900.67,912.05,926.00,940.98,#N/A,#N/A,#N/A,,1 is quarter before
1969,2,903.02,916.88,930.00,941.68,954.18,#N/A,#N/A,#N/A,,2 is current quarter
1969,3,924.93,938.73,950.68,961.63,973.86,#N/A,#N/A,#N/A,,3 is next quarter and so on
1969,4,942.86,954.26,963.79,973.26,987.89,"1,004.60",#N/A,#N/A,,A is current yer
1970,1,952.95,961.81,971.71,985.60,"1,001.95",#N/A,#N/A,#N/A,,B is next year
1970,2,960.00,970.98,984.88,"1,000.39","1,016.69","1,033.76",#N/A,#N/A,,
1970,3,970.09,983.91,998.44,"1,015.19","1,031.20","1,048.49",#N/A,#N/A,,
1970,4,985.81,992.90,"1,014.97","1,033.34","1,049.50","1,067.45",#N/A,#N/A,,
1971,1,990.96,"1,016.48","1,036.80","1,051.81","1,073.09","1,094.72",#N/A,#N/A,,
1971,2,"1,018.02","1,039.44","1,055.47","1,077.79","1,102.02","1,125.88",#N/A,#N/A,,
1971,3,"1,057.72","1,079.38","1,102.88","1,127.76","1,152.33","1,176.73",#N/A,#N/A,,
1971,4,"1,060.76","1,080.78","1,105.08","1,129.63","1,154.53","1,180.17",#N/A,#N/A,,
1972,1,"1,073.18","1,099.09","1,125.44","1,151.21","1,177.06","1,200.87",#N/A,#N/A,,
1972,2,"1,102.97","1,131.40","1,158.57","1,184.33","1,210.06","1,235.19",#N/A,#N/A,,
1972,3,"1,137.69","1,164.73","1,191.81","1,219.21","1,245.45","1,268.77",#N/A,#N/A,,
1972,4,"1,164.03","1,192.08","1,220.87","1,247.97","1,272.78","1,296.79",#N/A,#N/A,,
1973,1,"1,196.03","1,225.26","1,253.79","1,278.38","1,301.97","1,325.97",#N/A,#N/A,,
1973,2,"1,235.82","1,266.56","1,292.32","1,316.24","1,340.69","1,360.82",#N/A,#N/A,,
1973,3,"1,298.42","1,323.36","1,343.73","1,362.71","1,382.93","1,405.67",#N/A,#N/A,,
1973,4,"1,304.46","1,329.25","1,346.49","1,364.61","1,385.96","1,410.05",#N/A,#N/A,,
1974,1,"1,334.10","1,350.93","1,373.11","1,400.80","1,432.18","1,459.70",#N/A,#N/A,,
1974,2,"1,351.96","1,377.98","1,407.31","1,439.53","1,471.56","1,505.45",#N/A,#N/A,,
1974,3,"1,383.65","1,412.52","1,444.06","1,476.02","1,508.48",#N/A,#N/A,#N/A,,
1974,4,"1,415.02","1,434.94","1,457.60","1,487.96","1,524.34","1,566.11",#N/A,#N/A,,
1975,1,"1,427.98","1,437.50","1,459.07","1,495.48","1,536.55","1,573.86",#N/A,#N/A,,
1975,2,"1,419.02","1,436.11","1,469.36","1,511.26","1,550.77","1,593.62",#N/A,#N/A,,
1975,3,"1,433.31","1,473.92","1,517.49","1,560.62","1,604.92","1,651.64",#N/A,#N/A,,
1975,4,"1,498.05","1,542.14","1,584.16","1,628.39","1,670.59","1,715.64",#N/A,#N/A,,
1976,1,"1,573.09","1,615.73","1,660.80","1,707.93","1,757.13","1,804.29",#N/A,#N/A,,
1976,2,"1,616.00","1,659.10","1,705.94","1,754.81","1,802.40","1,848.10",#N/A,#N/A,,
1976,3,"1,673.03","1,716.31","1,765.83","1,814.03","1,861.47","1,908.36",#N/A,#N/A,,
1976,4,"1,710.31","1,756.08","1,801.78","1,849.28","1,897.03","1,945.86",#N/A,#N/A,,
1977,1,"1,748.54","1,787.10","1,838.69","1,888.13","1,937.82","1,983.69",#N/A,#N/A,,
1977,2,"1,792.20","1,848.63","1,903.00","1,956.73","2,007.53","2,056.18",#N/A,#N/A,,
1977,3,"1,868.97","1,919.49","1,976.22","2,025.68","2,076.32","2,127.17",#N/A,#N/A,,
1977,4,"1,910.90","1,961.43","2,011.10","2,059.02","2,110.40","2,161.79",#N/A,#N/A,,
1978,1,"1,965.38","2,016.46","2,065.23","2,115.27","2,167.27","2,216.12",#N/A,#N/A,,
1978,2,"1,993.69","2,059.06","2,112.17","2,165.28","2,211.58","2,258.22",#N/A,#N/A,,
1978,3,"2,077.04","2,134.00","2,188.08","2,236.16","2,282.84","2,329.92",#N/A,#N/A,,
1978,4,"2,141.10","2,198.73","2,249.07","2,296.93","2,341.17","2,386.03",#N/A,#N/A,,
1979,1,"2,210.88","2,267.06","2,317.97","2,357.21","2,400.06","2,449.36",#N/A,#N/A,,
1979,2,"2,265.85","2,322.61","2,366.58","2,408.94","2,456.36","2,508.94",#N/A,#N/A,,
1979,3,"2,326.31","2,368.43","2,404.81","2,444.89","2,504.16","2,572.92",#N/A,#N/A,,
1979,4,"2,389.56","2,435.34","2,467.00","2,502.23","2,556.13","2,628.81",#N/A,#N/A,,
1980,1,"2,456.27","2,508.00","2,548.92","2,590.73","2,649.38","2,723.79",#N/A,#N/A,,
1980,2,"2,515.03","2,548.93","2,579.90","2,630.93","2,693.00","2,767.14",#N/A,#N/A,,
1980,3,"2,522.78","2,552.13","2,597.35","2,663.30","2,732.09","2,816.00",#N/A,#N/A,,
1980,4,"2,584.32","2,654.48","2,725.16","2,799.87","2,884.45","2,972.10",#N/A,#N/A,,
1981,1,"2,734.36","2,806.24","2,875.38","2,964.06","3,055.59","3,146.03",#N/A,#N/A,,
1981,2,"2,840.58","2,905.23","2,980.83","3,068.93","3,158.54","3,240.78",#N/A,#N/A,,
1981,3,"2,881.68","2,929.83","2,999.80","3,083.80","3,164.46","3,258.50","2,919.68","3,219.76",,
1981,4,"2,949.21","2,981.63","3,032.00","3,102.74","3,188.45","3,289.32","2,917.30","3,156.35",,
