Date,S&P500,MABMM301USM189S,Australia,Canada,Germany,Japan,UK,Unfilled Orders,CPIAUCNS
31/01/1959,55.450001,,0,0,0,0,0,44685,12.63738
28/02/1959,55.41,,0,0,0,0,0,45793,12.5938
31/03/1959,55.439999,,0,0,0,0,0,46951,12.5938
30/04/1959,57.59,,0,0,0,0,0,47728,12.63738
31/05/1959,58.68,,0,0,0,0,0,47583,12.63738
30/06/1959,58.470001,,0,0,0,0,0,47947,12.68095
31/07/1959,60.509998,,0,0,0,0,0,47565,12.72453
31/08/1959,59.599998,,0,0,0,0,0,47551,12.72453
30/09/1959,56.880001,,0,0,0,0,0,48270,12.76811
31/10/1959,57.52,,0,0,0,0,0,48899,12.81169
30/11/1959,58.279999,,0,0,0,0,0,48799,12.81169
31/12/1959,59.889999,,0,0,0,0,0,48369,12.81169
31/01/1960,55.610001,2.98E+11,0,0,0,0,0,47032,12.76811
29/02/1960,56.119999,2.99E+11,0,0,0,0,0,45952,12.81169
31/03/1960,55.34,2.99E+11,0,0,0,0,0,44924,12.81169
30/04/1960,54.369999,3.00E+11,0,0,0,0,0,44092,12.85526
31/05/1960,55.830002,3.01E+11,0,0,0,0,0,43606,12.85526
30/06/1960,56.919998,3.02E+11,0,0,0,0,0,43410,12.89884
31/07/1960,55.509998,3.04E+11,0,0,0,0,0,42774,12.89884
31/08/1960,56.959999,3.07E+11,0,0,0,0,0,43106,12.89884
30/09/1960,53.52,3.08E+11,0,0,0,0,0,43220,12.89884
31/10/1960,53.389999,3.10E+11,0,0,0,0,0,42434,12.98599
30/11/1960,55.540001,3.11E+11,0,0,0,0,0,41975,12.98599
31/12/1960,58.110001,3.12E+11,0,0,0,0,0,41650,12.98599
31/01/1961,61.779999,3.14E+11,1,0,0,0,0,41431,12.98599
28/02/1961,63.439999,3.17E+11,1,0,0,0,0,41532,12.98599
31/03/1961,65.059998,3.18E+11,1,0,0,0,0,41287,12.98599
30/04/1961,65.309998,3.20E+11,1,0,0,0,0,41653,12.98599
31/05/1961,66.559998,3.22E+11,1,0,0,0,0,41912,12.98599
30/06/1961,64.639999,3.24E+11,1,0,0,0,0,42022,12.98599
31/07/1961,66.760002,3.26E+11,1,0,0,0,0,42333,13.07315
31/08/1961,68.07,3.28E+11,1,0,0,0,0,42763,13.02957
30/09/1961,66.730003,3.30E+11,1,0,0,0,0,42716,13.07315
31/10/1961,68.620003,3.31E+11,0,0,0,0,0,42794,13.07315
30/11/1961,71.32,3.33E+11,0,0,0,0,0,43065,13.07315
31/12/1961,71.550003,3.36E+11,0,0,0,0,0,43582,13.07315
31/01/1962,68.839996,3.38E+11,0,0,0,0,0,44110,13.07315
28/02/1962,69.959999,3.40E+11,0,0,0,0,0,44675,13.11673
31/03/1962,69.550003,3.43E+11,0,0,0,0,0,44289,13.11673
30/04/1962,65.239998,3.46E+11,0,0,0,0,0,43770,13.1603
31/05/1962,59.630001,3.48E+11,0,0,0,0,0,43408,13.1603
30/06/1962,54.75,3.49E+11,0,0,0,0,0,43212,13.1603
31/07/1962,58.23,3.51E+11,0,0,0,0,0,43186,13.20388
31/08/1962,59.119999,3.53E+11,0,0,0,0,0,42736,13.20388
30/09/1962,56.27,3.55E+11,0,0,0,0,0,43112,13.24746
31/10/1962,56.52,3.57E+11,0,0,0,0,0,43747,13.24746
30/11/1962,62.259998,3.60E+11,0,0,0,0,0,43746,13.24746
31/12/1962,63.099998,3.63E+11,0,0,0,0,0,45170,13.24746
31/01/1963,66.199997,3.65E+11,0,0,0,0,0,46329,13.24746
28/02/1963,64.290001,3.68E+11,0,0,0,0,0,47251,13.24746
31/03/1963,66.57,3.71E+11,0,0,0,0,0,48578,13.29103
30/04/1963,69.800003,3.73E+11,0,0,0,0,0,49364,13.29103
31/05/1963,70.800003,3.76E+11,0,0,0,0,0,50207,13.29103
30/06/1963,69.370003,3.78E+11,0,0,0,0,0,49993,13.33461
31/07/1963,69.129997,3.81E+11,0,0,0,0,0,49929,13.37819
31/08/1963,72.5,3.84E+11,0,0,0,0,0,50011,13.37819
30/09/1963,71.699997,3.86E+11,0,0,0,0,0,50421,13.37819
31/10/1963,74.010002,3.88E+11,0,0,0,0,0,50591,13.42177
30/11/1963,73.230003,3.92E+11,0,0,0,0,0,50684,13.42177
31/12/1963,75.019997,3.93E+11,0,0,0,0,0,50346,13.46534
31/01/1964,77.040001,3.95E+11,0,0,0,0,0,51539,13.46534
29/02/1964,77.800003,3.98E+11,0,0,0,0,0,52061,13.46534
31/03/1964,78.980003,4.00E+11,0,0,0,0,0,52749,13.46534
30/04/1964,79.459999,4.02E+11,0,0,0,0,0,53616,13.46534
31/05/1964,80.370003,4.04E+11,0,0,0,0,0,54620,13.46534
30/06/1964,81.690002,4.07E+11,0,0,0,0,0,55672,13.50892
31/07/1964,83.18,4.10E+11,0,0,0,0,0,57190,13.5525
31/08/1964,81.830002,4.13E+11,0,0,0,0,0,57698,13.50892
30/09/1964,84.18,4.17E+11,0,0,0,0,0,58604,13.5525
31/10/1964,84.860001,4.19E+11,0,0,0,0,0,59988,13.5525
30/11/1964,84.419998,4.22E+11,0,0,0,0,0,60595,13.59607
31/12/1964,84.75,4.25E+11,0,0,0,0,0,61315,13.59607
31/01/1965,87.559998,4.28E+11,0,0,0,0,0,62652,13.59607
28/02/1965,87.43,4.30E+11,0,0,0,0,0,63656,13.59607
31/03/1965,86.160004,4.33E+11,0,0,0,0,0,64520,13.63965
30/04/1965,89.110001,4.35E+11,0,0,0,0,0,65571,13.68323
31/05/1965,88.419998,4.37E+11,0,0,0,0,0,66518,13.68323
30/06/1965,84.120003,4.40E+11,0,0,0,0,0,67379,13.77038
31/07/1965,85.25,4.43E+11,0,0,0,0,0,68239,13.77038
31/08/1965,87.169998,4.46E+11,0,0,0,0,0,69011,13.77038
30/09/1965,89.959999,4.50E+11,0,0,0,0,0,70254,13.77038
31/10/1965,92.419998,4.53E+11,0,0,0,0,0,71847,13.81396
30/11/1965,91.610001,4.56E+11,0,0,0,0,0,73054,13.81396
31/12/1965,92.43,4.59E+11,0,0,0,0,0,74459,13.85754
31/01/1966,92.879997,4.62E+11,0,0,0,0,0,76599,13.85754
28/02/1966,91.220001,4.65E+11,0,0,0,0,0,78326,13.94469
31/03/1966,89.230003,4.67E+11,0,0,0,0,0,80731,13.98827
30/04/1966,91.059998,4.69E+11,0,0,1,0,0,82532,14.07542
31/05/1966,86.129997,4.70E+11,0,0,1,0,0,84042,14.07542
30/06/1966,84.739998,4.71E+11,0,0,1,0,0,86082,14.119
31/07/1966,83.599998,4.71E+11,0,0,1,0,0,87956,14.16258
31/08/1966,77.099998,4.73E+11,0,0,1,0,0,89052,14.24973
30/09/1966,76.559998,4.75E+11,0,0,1,0,0,91216,14.24973
31/10/1966,80.199997,4.76E+11,0,0,1,0,0,92321,14.33689
30/11/1966,80.449997,4.77E+11,0,0,1,0,0,92654,14.33689
31/12/1966,80.330002,4.80E+11,0,0,1,0,0,93002,14.33689
31/01/1967,86.610001,4.82E+11,0,0,1,0,0,93241,14.33689
28/02/1967,86.779999,4.85E+11,0,0,1,0,0,93457,14.33689
31/03/1967,90.199997,4.90E+11,0,0,1,0,0,93082,14.38046
30/04/1967,94.010002,4.92E+11,0,0,1,0,0,93186,14.42404
31/05/1967,89.080002,4.97E+11,0,0,1,0,0,94270,14.46762
30/06/1967,90.639999,5.02E+11,0,0,0,0,0,95587,14.51119
31/07/1967,94.75,5.06E+11,0,0,0,0,0,96349,14.55477
31/08/1967,93.639999,5.11E+11,0,0,0,0,0,96654,14.59835
30/09/1967,96.709999,5.15E+11,0,0,0,0,0,96824,14.64193
31/10/1967,93.300003,5.18E+11,0,0,0,0,0,98008,14.6855
30/11/1967,94,5.21E+11,0,0,0,0,0,98369,14.72908
31/12/1967,96.470001,5.25E+11,0,0,0,0,0,99735,14.77266
31/01/1968,92.239998,5.27E+11,0,0,0,0,0,99570,14.85981
29/02/1968,89.360001,5.30E+11,0,0,0,0,0,99966,14.90339
31/03/1968,90.199997,5.33E+11,0,0,0,0,0,101343,14.94697
30/04/1968,97.459999,5.36E+11,0,0,0,0,0,101655,14.99054
31/05/1968,98.68,5.39E+11,0,0,0,0,0,101014,15.03412
30/06/1968,99.580002,5.43E+11,0,0,0,0,0,100917,15.12128
31/07/1968,97.739998,5.46E+11,0,0,0,0,0,99942,15.20843
31/08/1968,98.860001,5.49E+11,0,0,0,0,0,101047,15.25201
30/09/1968,102.669998,5.54E+11,0,0,0,0,0,102072,15.29558
31/10/1968,103.410004,5.58E+11,0,0,0,0,0,103471,15.38274
30/11/1968,108.370003,5.62E+11,0,0,0,0,0,103725,15.42632
31/12/1968,103.860001,5.67E+11,0,0,0,0,0,104393,15.46989
